Tactic,Technique,Procedure,Indicator,Comments
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,tagesspiegel[.]ltd," Domains spoofing news or government sites Registration date: 08-09-2022, Country likely targeted: Germany"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,spiegel[.]agency," Domains spoofing news or government sites Registration date: 08-06-2022, Country likely targeted: Germany"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,t-onlinr[.]life," Domains spoofing news or government sites Registration date: 07-31-2022, Country likely targeted: Germany"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,t-onlinr[.]live," Domains spoofing news or government sites Registration date: 07-31-2022, Country likely targeted: Germany"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,t-onlinr[.]today," Domains spoofing news or government sites Registration date: 07-31-2022, Country likely targeted: Germany"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,faz[.]ltd," Domains spoofing news or government sites Registration date: 07-30-2022, Country likely targeted: Germany"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,spiegeli[.]life," Domains spoofing news or government sites Registration date: 07-28-2022, Country likely targeted: Germany"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,spiegeli[.]live," Domains spoofing news or government sites Registration date: 07-28-2022, Country likely targeted: Germany"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,spiegeli[.]today," Domains spoofing news or government sites Registration date: 07-28-2022, Country likely targeted: Germany"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,welt[.]ltd," Domains spoofing news or government sites Registration date: 07-28-2022, Country likely targeted: Germany"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,bild[.]llc," Domains spoofing news or government sites Registration date: 07-25-2022, Country likely targeted: Germany"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,bild[.]eu[.]com," Domains spoofing news or government sites Registration date: 07-24-2022, Country likely targeted: Germany"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,spiegel[.]pro," Domains spoofing news or government sites Registration date: 07-20-2022, Country likely targeted: Germany"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,spiegel.fun," Domains spoofing news or government sites Registration date: 07-18-2022, Country likely targeted: Germany"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,spiegel.quest," Domains spoofing news or government sites Registration date: 07-18-2022, Country likely targeted: Germany"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,tonline[.]cfd," Domains spoofing news or government sites Registration date: 07-18-2022, Country likely targeted: Germany"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,tonline[.]life," Domains spoofing news or government sites Registration date: 07-18-2022, Country likely targeted: Germany"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,tonline[.]today," Domains spoofing news or government sites Registration date: 07-18-2022, Country likely targeted: Germany"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,spiegel[.]today," Domains spoofing news or government sites Registration date: 07-16-2022, Country likely targeted: Germany"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,rbk[.]today," Domains spoofing news or government sites Registration date: 07-13-2022, Country likely targeted: Ukraine"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,repubblica.icu," Domains spoofing news or government sites Registration date: 07-12-2022, Country likely targeted: Italy"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,repubblica.world," Domains spoofing news or government sites Registration date: 07-12-2022, Country likely targeted: Italy"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,bild[.]asia," Domains spoofing news or government sites Registration date: 07-12-2022, Country likely targeted: Germany"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,bild[.]vip," Domains spoofing news or government sites Registration date: 07-12-2022, Country likely targeted: Germany"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,delfi[.]today," Domains spoofing news or government sites Registration date: 07-12-2022, Country likely targeted: Latvia"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,delfi[.]top," Domains spoofing news or government sites Registration date: 07-12-2022, Country likely targeted: Latvia"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,theguardian[.]co[.]com," Domains spoofing news or government sites Registration date: 07-07-2022, Country likely targeted: UK"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,spiegel[.]ltd," Domains spoofing news or government sites Registration date: 06-29-2022, Country likely targeted: Germany"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,20minuts[.]com," Domains spoofing news or government sites Registration date: 06-28-2022, Country likely targeted: France"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,ansa[.]ltd," Domains spoofing news or government sites Registration date: 06-28-2022, Country likely targeted: Italy"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,dailymail[.]cam," Domains spoofing news or government sites Registration date: 06-23-2022, Country likely targeted: UK"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,dailymail[.]cfd," Domains spoofing news or government sites Registration date: 06-23-2022, Country likely targeted: UK"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,delfi[.]life," Domains spoofing news or government sites Registration date: 06-15-2022, Country likely targeted: Latvia"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,repubblica[.]life," Domains spoofing news or government sites Registration date: 06-13-2022, Country likely targeted: Italy"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,dailymail[.]top," Domains spoofing news or government sites Registration date: 06-10-2022, Country likely targeted: UK"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,welt[.]tours," Domains spoofing news or government sites Registration date: 06-07-2022, Country likely targeted: Germany"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,bild[.]pics," Domains spoofing news or government sites Registration date: 06-06-2022, Country likely targeted: Germany"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,50statesoflie[.]com,"Operation’s websites and brands Registration date: 02/23/2023, Country likely targeted: USA"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,acrosstheline[.]press,"Operation’s websites and brands Registration date: 02/27/2023, Country likely targeted: USA"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,allons-y[.]social,"Operation’s websites and brands Registration date: 02/24/2023, Country likely targeted: France"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,artichoc[.]io,"Operation’s websites and brands Registration date: 06/29/2023, Country likely targeted: France"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,besuchszweck[.]org,"Operation’s websites and brands Registration date: 02/23/2023, Country likely targeted: Germany"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,candidat[.]news,"Operation’s websites and brands Registration date: 02/24/2023, Country likely targeted: France"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,cropmarketchronicles[.]us,"Operation’s websites and brands Registration date: 07/05/2023, Country likely targeted: USA"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,derleitstern[.]com,"Operation’s websites and brands Registration date: 02/27/2023, Country likely targeted: Germany"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,derrattenfanger[.]net,"Operation’s websites and brands Registration date: 02/27/2023, Country likely targeted: Germany"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,electionwatch[.]live,"Operation’s websites and brands Registration date: 02/23/2023, Country likely targeted: USA"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,franceeteu[.]today,"Operation’s websites and brands Registration date: 02/24/2023, Country likely targeted: France"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,grenzezank[.]com,"Operation’s websites and brands Registration date: 07/05/2023, Country likely targeted: Germany"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,holylandherald[.]com,"Operation’s websites and brands Registration date: 06/19/2023, Country likely targeted: Israel"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,honeymoney[.]info,"Operation’s websites and brands Registration date: 02/23/2023, Country likely targeted: USA"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,interventionist[.]us,"Operation’s websites and brands Registration date: 08/22/2023, Country likely targeted: USA"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,kaputteampel[.]com,"Operation’s websites and brands Registration date: 07/05/2023, Country likely targeted: Germany"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,laterrasse[.]online,"Operation’s websites and brands Registration date: 02/24/2023, Country likely targeted: France"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,lavirgule[.]news,"Operation’s websites and brands Registration date: 02/24/2023, Country likely targeted: France"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,lebelligerant[.]com,"Operation’s websites and brands Registration date: 06/29/2023, Country likely targeted: France"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,lesfrontieres[.]media,"Operation’s websites and brands Registration date: 02/24/2023, Country likely targeted: France"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,lexomnium[.]com,"Operation’s websites and brands Registration date: 07/05/2023, Country likely targeted: France"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,liesofwallstreet[.]com,"Operation’s websites and brands Registration date: 02/23/2023, Country likely targeted: USA"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,mypride[.]press,"Operation’s websites and brands Registration date: 02/27/2023, Country likely targeted: USA"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,notrepays[.]today,"Operation’s websites and brands Registration date: 02/24/2023, Country likely targeted: France"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,omnam[.]life,"Operation’s websites and brands Registration date: 07/19/2023, Country likely targeted: Israel"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,rrn[.]media,"Operation’s websites and brands Registration date: 07/26/2023, Country likely targeted: Global"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,spicyconspiracy[.]info,"Operation’s websites and brands Registration date: 02/23/2023, Country likely targeted: USA"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,truthgate[.]us,"Operation’s websites and brands Registration date: 07/05/2023, Country likely targeted: USA"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,ukrlm[.]info,"Operation’s websites and brands Registration date: 02/27/2023, Country likely targeted: Ukraine"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,uschina[.]press,"Operation’s websites and brands Registration date: 02/23/2023, Country likely targeted: USA"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,wanderfalke[.]net,"Operation’s websites and brands Registration date: 02/23/2023, Country likely targeted: Germany"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,warfareinsider[.]us,"Operation’s websites and brands Registration date: 07/05/2023, Country likely targeted: USA"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,ukraine-inc[.]info,"Operation’s websites and brands Registration date: 03/11/2023, Country likely targeted: Ukraine"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,nord-streampipeline[.]site,"Operation’s websites and brands Registration date: 10/21/2022, Country likely targeted: Global"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,70-putin-freunde[.]de,"Operation’s websites and brands Registration date: 10/05/2022, Country likely targeted: Germany"
